latitude,longitude,sound peak
51.5012130737,0.0034216001,2
51.5012207031,0.0034065997,2
51.5012283325,0.0033966002,0
51.5012359619,0.0033883001,0
51.5012435913,0.0033800003,0
51.5012550354,0.0033766002,0
51.5012550354,0.003355,0
51.5012626647,0.0033432996,0
51.5012626647,0.0033333001,0
51.5012626647,0.0033333001,0
51.5012702941,0.0033266,1
51.5012779235,0.0033150002,1
51.5012779235,0.0032965998,1
51.5012855529,0.0032800002,1
51.5012931823,0.0032683,1
51.5012702941,0.0032665996,1
51.5012435913,0.0032700002,2
51.5012283325,0.0032632999,2
51.5012359619,0.0032550001,45
51.5012207031,0.0032466001,10
51.5012054443,0.0032383,4
51.5011978149,0.0032283,2
51.5011863708,0.0032183003,1
51.5011863708,0.0032083005,3
51.5011863708,0.0031965999,3
51.5011787414,0.0031816,2
51.5011787414,0.0031749999,3
51.5011787414,0.0031583003,3
51.5011787414,0.0031416001,6
51.5011787414,0.0031266,9
51.5011787414,0.0031166002,7
51.5011787414,0.0031082999,5
51.5011863708,0.003095,5
51.5011863708,0.0030833001,3
51.5011863708,0.0030683002,3
51.5011978149,0.0030533001,3
51.5011978149,0.0030400002,4
51.5012054443,0.0030283,7
51.5012054443,0.0030150003,4
51.5012054443,0.0030033001,5
51.5012130737,0.0029916,3
51.5012130737,0.00298,5
51.5012130737,0.0029716,3
51.5012130737,0.0029632999,4
51.5012130737,0.0029516,8
51.5012130737,0.0029383001,6
51.5012130737,0.0029250001,3
51.5012130737,0.0029133,4
51.5012130737,0.0029033002,9
51.5012130737,0.0028916001,10
51.5012207031,0.0028866,24
51.5012207031,0.002875,22
51.5012207031,0.0028649999,13
51.5012207031,0.0028499999,14
51.5012207031,0.0028333001,7
51.5012130737,0.0028266,7
51.5012130737,0.0028132999,6
51.5012130737,0.0028032999,17
51.5012130737,0.0027916002,4
51.5012130737,0.0027766001,8
51.5012054443,0.0027665998,7
51.5012054443,0.0027533001,13
51.5012054443,0.0027383003,7
51.5012054443,0.0027250003,12
51.5011978149,0.0027149999,5
51.5012054443,0.0027032999,5
51.5012054443,0.0026933002,14
51.5012054443,0.0026833,6
51.5012130737,0.0026650002,8
51.5012130737,0.0026483001,8
51.5012130737,0.0026316001,8
51.5012130737,0.0026133,11
51.5012130737,0.0025983002,21
51.5012130737,0.0025782999,26
51.5012130737,0.002565,18
51.5012207031,0.002545,13
51.5012207031,0.0025283002,15
51.5012207031,0.0025133001,12
51.5012207031,0.0024849998,14
51.5012283325,0.0024683001,8
51.5012359619,0.0024465999,4
51.5012359619,0.0024266002,4
51.5012359619,0.0024182999,6
51.5012435913,0.0024065999,5
51.5012550354,0.0023950002,3
51.5012550354,0.0023850002,9
51.5012626647,0.002375,8
51.5012626647,0.0023733,12
51.5012626647,0.0023666002,8
51.5012702941,0.0023516001,9
51.5012702941,0.002325,4
51.5012626647,0.0023115999,2
51.5012626647,0.0023000001,5
51.5012550354,0.0022866001,7
51.5012550354,0.0022766001,8
51.5012435913,0.0022616002,14
51.5012359619,0.0022483,12
51.5012359619,0.00223,9
51.5012283325,0.0022150001,3
51.5012283325,0.0022033002,3
51.5012207031,0.0021866002,2
51.5012130737,0.00217,4
51.5012130737,0.0021549999,7
51.5012130737,0.0021383001,3
51.5012054443,0.0021249997,3
51.5012054443,0.0021115999,4
51.5012054443,0.0020915999,9
51.5012054443,0.0020766,27
51.5012054443,0.0020633001,34
51.5012054443,0.0020433001,27
51.5012054443,0.0020300002,17
51.5012054443,0.0020166001,15
51.5012054443,0.0020050001,20
51.5011978149,0.0020099999,34
51.5011978149,0.0020000002,31
51.5011863708,0.0019899999,28
51.5011863708,0.001975,43
51.5011787414,0.0019516,39
51.5011863708,0.0019383,61
51.5011863708,0.0019216001,54
51.5011863708,0.0019033,32
51.5011863708,0.0018883001,38
51.5011978149,0.0018716001,32
51.5011978149,0.0018565999,29
51.5012054443,0.0018433,48
51.5012130737,0.0018265999,20
51.5012130737,0.0018050001,13
51.5012130737,0.0017866001,17
51.5012207031,0.0017733,31
51.5012283325,0.0017600001,23
51.5012283325,0.0017466001,18
51.5012283325,0.0017350001,20
51.5012359619,0.00172,12
51.5012435913,0.0017083001,9
51.5012550354,0.0016949999,8
51.5012550354,0.0016815998,9
51.5012626647,0.0016683,5
51.5012702941,0.0016550002,7
51.5012702941,0.0016433,3
51.5012779235,0.0016332998,3
51.5012779235,0.0016166001,2
51.5012855529,0.0015999999,17
51.5012931823,0.0015816001,14
51.5012931823,0.0015616001,4
51.5012931823,0.0015466001,2
51.5012931823,0.0015315999,5
51.5013008117,0.0015116,4
51.5013008117,0.0014983,4
51.5013084411,0.0014866,2
51.5013198852,0.0014666001,1
51.5013198852,0.00145,2
51.5013275146,0.0014333,2
51.5013275146,0.0014165998,3
51.501335144,0.0014050001,1
51.5013427734,0.0013916001,9
51.5013427734,0.0013783,5
51.5013504028,0.0013666,1
51.5013580322,0.00135,1
51.5013656616,0.001335,2
51.5013656616,0.0013199999,4
51.5013771057,0.0013083,3
51.5013847351,0.00129,5
51.5013923645,0.0012766001,8
51.5013923645,0.0012616,16
51.5013999938,0.0012532999,18
51.5013999938,0.0012333,6
51.5014076232,0.0012166,7
51.5014076232,0.0011982999,8
51.5014152526,0.0011833001,9
51.501422882,0.0011683,2
51.5014305114,0.0011533,4
51.5014305114,0.0011383,4
51.5014419555,0.0011233,1
51.5014495849,0.0011066,2
51.5014572143,0.0010916,0
51.5014648437,0.0010766,1
51.5014724731,0.00106,2
51.5014724731,0.0010466001,1
51.5014801025,0.0010299999,1
51.5014801025,0.0010132999,2
51.5014877319,0.0010000001,4
51.501499176,0.0009833001,1
51.5015068054,0.0009716001,1
51.5015068054,0.0009566,2
51.5015144348,0.0009400001,1
51.5015220642,0.000925,1
51.5015296936,0.0009116,3
51.5015296936,0.0008965999,2
51.5015373229,0.0008833,1
51.5015449523,0.0008683,9
51.5015525817,0.0008533,4
51.5015640258,0.0008366001,6
51.5015716552,0.0008183001,6
51.5015716552,0.0008033,3
51.5015792846,0.00079,1
51.5015792846,0.000775,2
51.501586914,0.0007633,3
51.5015945434,0.00075,3
51.5015945434,0.00073,5
51.5016021728,0.000715,2
51.5016098022,0.0007,3
51.5016098022,0.0006883001,5
51.5016212463,0.0006733,1
51.5016288757,0.0006616001,2
51.5016365051,0.0006466,1
51.5016441345,0.0006300001,2
51.5016441345,0.00061,4
51.5016517639,0.0005966,3
51.5016593933,0.0005833,2
51.5016670227,0.0005683001,4
51.5016670227,0.0005533,3
51.501674652,0.0005400001,4
51.501674652,0.0005283,3
51.5016860961,0.0005133,3
51.5016937255,0.0005,1
51.5017013549,0.0004866001,3
51.5017089843,0.0004733,2
51.5017089843,0.0004616,2
51.5017166137,0.00045,2
51.5017166137,0.0004333,1
51.5017242431,0.0004183001,3
51.5017242431,0.0004,3
51.5017318725,0.0003833001,6
51.5017433166,0.0003666,4
51.5017433166,0.00035,2
51.501750946,0.000335,2
51.501750946,0.0003183,2
51.5017585754,0.0002983,6
51.5017585754,0.0002833,4
51.5017662048,0.0002666,4
51.5017662048,0.0002516,12
51.5017738342,0.0002366,6
51.5017738342,0.0002216,21
51.5017814636,0.00021,4
51.501789093,0.0001933,4
51.501789093,0.0001783,7
51.5017967224,0.0001583,6
51.5018081665,0.0001433,3
51.5018081665,0.0001316,3
51.5018157958,0.0001133,4
51.5018157958,9.33E-05,4
51.5018157958,7.33E-05,6
51.5018234252,5.33E-05,6
51.5018234252,3.5E-05,3
51.5018310546,1.33E-05,4
51.5018310546,-6.6E-06,4
51.501838684,-2.33E-05,2
51.501838684,-3.83E-05,3
51.5018463134,-5.33E-05,7
51.5018463134,-7.16E-05,7
51.5018463134,-9.33E-05,11
51.5018463134,-0.0001083,8
51.5018463134,-0.000125,3
51.5018463134,-0.0001416,4
51.5018539428,-0.0001566,7
51.5018539428,-0.00017,14
51.5018539428,-0.0001833,24
51.5018539428,-0.0002,56
51.5018539428,-0.000215,94
51.5018653869,-0.0002283,119
51.5018653869,-0.00025,13
51.5018730163,-0.00027,22
51.5018730163,-0.0002916,47
51.5018730163,-0.0003083,25
51.5018730163,-0.0003233,10
51.5018730163,-0.0003383001,5
51.5018730163,-0.0003566,13
51.5018806457,-0.0003816,5
51.5018806457,-0.0004016,5
51.5018806457,-0.0004216,3
51.5018806457,-0.00044,4
51.5018882751,-0.000455,3
51.5018882751,-0.00047,5
51.5018882751,-0.000485,2
51.5018882751,-0.0005033,3
51.5018882751,-0.0005216,2
51.5018959045,-0.0005433,25
51.5018959045,-0.0005616,14
51.5018959045,-0.0005783,17
51.5018959045,-0.000595,2
51.5018959045,-0.0006116001,3
51.5018959045,-0.0006300001,5
51.5018959045,-0.00065,4
51.5019035339,-0.0006683001,4
51.5019035339,-0.0006816,4
51.5019035339,-0.0006950001,5
51.5019035339,-0.0007133,7
51.5019035339,-0.0007316,22
51.5018959045,-0.0007416,4
51.5018959045,-0.0007565999,3
51.5018959045,-0.00077,8
51.5018959045,-0.0007916,15
51.5018959045,-0.0007950001,37
51.5018959045,-0.0008166,10
51.5018959045,-0.00083,18
51.5018882751,-0.000845,35
51.5018882751,-0.0008650001,7
51.5018882751,-0.0008766001,16
51.5018959045,-0.0008933001,13
51.5018959045,-0.0009150001,6
51.5018959045,-0.0009366001,52
51.5018959045,-0.0009583001,4
51.5018959045,-0.0009716001,22
51.5018959045,-0.00099,8
51.5018959045,-0.0010099999,4
51.5018959045,-0.0010283,5
51.5019035339,-0.0010499999,17
51.5019035339,-0.0010633001,10
51.5019111633,-0.0010783001,4
51.5019187927,-0.0010933001,25
51.5019187927,-0.0011133,17
51.5019187927,-0.0011282999,15
51.5019302368,-0.0011483,28
51.5019378662,-0.0011633,36
51.5019378662,-0.0011833001,10
51.5019378662,-0.0012032999,21
51.5019454956,-0.0012232999,41
51.5019454956,-0.00124,12
51.5019454956,-0.0012583,11
51.501953125,-0.001275,17
51.5019607543,-0.0012849999,10
51.5019683837,-0.0013015999,9
51.5019683837,-0.0013183,33
51.5019760131,-0.001335,9
51.5019760131,-0.0013515999,6
51.5019874572,-0.0013716,6
51.5019874572,-0.0013899999,5
51.5019874572,-0.00141,4
51.5019950866,-0.0014266,10
51.5019950866,-0.0014433,14
51.502002716,-0.00146,7
51.502002716,-0.00148,5
51.502002716,-0.0014950001,7
51.5020103454,-0.0015100001,6
51.5020179748,-0.001525,5
51.5020179748,-0.0015315999,6
51.5020256042,-0.0015466001,6
51.5020332336,-0.0015566,5
51.502040863,-0.0015699999,8
51.5020523071,-0.0015782999,21
51.5020523071,-0.001595,7
51.5020599365,-0.0016116,8
51.5020599365,-0.0016315999,16
51.5020599365,-0.0016482999,8
51.5020599365,-0.0016683,14
51.5020675659,-0.0016815998,10
51.5020675659,-0.0016933001,15
51.5020675659,-0.0017083001,70
51.5020751953,-0.001725,14
51.5020751953,-0.0017433,7
51.5020828247,-0.0017549998,4
51.5020828247,-0.0017733,7
51.5020904541,-0.0017933001,9
51.5020904541,-0.0018066,62
51.5020904541,-0.0018216,31
51.5020980834,-0.0018382999,6
51.5021095275,-0.0018533,11
51.5021095275,-0.0018649997,7
51.5021171569,-0.0018799999,10
51.5021247863,-0.0018949999,11
51.5021324157,-0.0019099998,6
51.5021400451,-0.0019183002,10
51.5021476745,-0.0019282999,19
51.5021553039,-0.0019365999,47
51.5021629333,-0.0019416,41
51.5021743774,-0.0019449998,22
51.5021820068,-0.0019516,17
51.5021972656,-0.0019549999,12
51.502204895,-0.0019583001,6
51.5022125244,-0.00196,5
51.5022201538,-0.00196,15
51.5022201538,-0.0019583001,15
51.5022315979,-0.0019533,9
51.5022392272,-0.0019483001,34
51.5022468566,-0.00195,15
51.5022468566,-0.0019483001,13
51.502254486,-0.0019465999,12
51.5022621154,-0.0019465999,29
51.5022697448,-0.0019449998,97
51.5022773742,-0.0019416,62
51.5022850036,-0.0019383,292
51.5022850036,-0.0019349999,114
51.5022964477,-0.0019300001,44
51.5023040771,-0.0019282999,13
51.5023117065,-0.0019250001,26
51.5023193359,-0.0019183002,77
51.5023269653,-0.0019115999,10
51.5023345947,-0.0019065999,9
51.5023422241,-0.0019,4
51.5023536682,-0.0019,14
51.502368927,-0.0019033,70
51.502368927,-0.0019016,77
51.5023841857,-0.0018983,238
51.5023918151,-0.0018949999,45
51.5023994445,-0.0018933,36
51.5024070739,-0.0018900001,21
51.502418518,-0.0018883001,20
51.5024261474,-0.0018866001,7
51.5024337768,-0.0018799999,7
51.5024414062,-0.0018733,18
51.502456665,-0.0018682999,17
51.502456665,-0.0018633001,15
51.5024642944,-0.00186,9
51.5024833679,-0.0018533,16
51.5024909973,-0.0018466001,15
51.5024986267,-0.0018400001,17
51.5025138854,-0.0018366001,30
51.5025215148,-0.0018316,6
51.5025405883,-0.0018282999,4
51.5025482177,-0.001825,22
51.5025558471,-0.0018216,24
51.5025634765,-0.0018166003,29
51.5025711059,-0.0018150001,8
51.5025863647,-0.0018115999,6
51.5025978088,-0.0018066,7
51.5026054382,-0.0018016002,5
51.502620697,-0.0017966001,17
51.5026283264,-0.0017915999,8
51.5026359558,-0.0017866001,8
51.5026435852,-0.0017833,8
51.5026512145,-0.0017783,7
51.5026626586,-0.001775,5
51.5026779174,-0.0017700002,4
51.5026855468,-0.0017633003,15
51.5026931762,-0.0017565999,4
51.502708435,-0.0017482998,16
51.5027198791,-0.0017416,9
51.5027275085,-0.0017350001,14
51.5027427673,-0.0017300002,23
51.5027503967,-0.001725,6
51.5027580261,-0.00172,9
51.5027656555,-0.0017150001,11
51.502784729,-0.0017083001,12
51.5027923583,-0.0017000001,3
51.5027999877,-0.0016949999,6
51.5028076171,-0.0016900001,5
51.5028228759,-0.0016833001,2
51.5028305053,-0.0016765999,7
51.5028495788,-0.0016683,8
51.5028572082,-0.00166,4
51.5028648376,-0.0016500001,7
51.5028800964,-0.0016416,4
51.5028877258,-0.0016315999,4
51.5028953552,-0.0016233,4
51.5029144287,-0.001615,4
51.5029220581,-0.0016083002,5
51.5029296875,-0.0016015999,5
51.5029373168,-0.001595,11
51.5029525756,-0.0015865999,6
51.5029640197,-0.0015782999,5
51.5029792785,-0.0015699999,9
51.5029945373,-0.0015600001,15
51.5030021667,-0.0015549999,5
51.5030097961,-0.0015483,5
51.5030174255,-0.0015433001,5
51.5030288696,-0.001535,7
51.503036499,-0.0015283001,6
51.5030441284,-0.0015216,5
51.5030517578,-0.0015116,5
51.5030593872,-0.0015033,21
51.5030670166,-0.0014950001,6
51.5030746459,-0.0014866,4
51.50308609,-0.0014766,5
51.5030937194,-0.0014683001,10
51.5031013488,-0.0014616,5
51.5031089782,-0.0014533,6
51.503124237,-0.0014433,3
51.5031394958,-0.0014333,4
51.5031509399,-0.0014233,2
51.5031585693,-0.0014116001,2
51.5031661987,-0.0013999999,5
51.5031814575,-0.0013933,4
51.5031814575,-0.0013899999,3
51.5031890869,-0.0013849999,3
51.5031890869,-0.0013816,5
51.5031967163,-0.0013800001,2
51.5032081604,-0.001375,12
51.5032081604,-0.0013716,13
51.5032234191,-0.001365,6
51.5032310485,-0.0013600001,10
51.5032463073,-0.0013515999,3
51.5032539367,-0.0013466,19
51.5032539367,-0.00134,8
51.5032615661,-0.001335,11
51.5032730102,-0.0013233,7
51.5032806396,-0.0013183,5
51.503288269,-0.0013065999,3
51.5032958984,-0.0012950001,3
51.5033111572,-0.0012883,8
51.5033187866,-0.0012766001,1
51.5033302307,-0.0012650001,17
51.5033302307,-0.0012600002,25
51.5033378601,-0.0012483,43
51.5033454895,-0.0012432999,4
51.5033531188,-0.001225,6
51.5033683776,-0.001215,12
51.503376007,-0.0012082999,2
51.503376007,-0.0012015999,2
51.5033836364,-0.0012015999,3
51.5033950805,-0.0011916,4
51.5033836364,-0.001215,3
51.5033836364,-0.0012166,8
51.5033836364,-0.00123,13
51.5034027099,-0.001225,7
51.5034027099,-0.0012183001,11
51.5034027099,-0.0012032999,2
51.5034103393,-0.00119,3
51.5034255981,-0.00118,3
51.5034255981,-0.0011665999,1
51.5034332275,-0.0011533,0
51.5034408569,-0.0011350001,9
51.503452301,-0.00112,1
51.5034675598,-0.0010933001,16
51.5034675598,-0.0010883002,19
51.5034751892,-0.0010766,15
51.5034828186,-0.0010683,11
51.5034828186,-0.0010715999,4
51.5034904479,-0.0010715999,13
51.5034980773,-0.0010633001,1
51.5035057067,-0.0010549999,8
51.5035171508,-0.0010365999,4
51.5035171508,-0.0010233,8
51.5035247802,-0.0010083,15
51.5035324096,-0.0009933,16
51.503540039,-0.0009815999,2
51.503540039,-0.0009666,0
51.5035476684,-0.0009483,0
51.5035552978,-0.0009300001,0
51.5035629272,-0.0009166001,0
51.5035743713,-0.000905,1
51.5035896301,-0.0008933001,0
51.5035972595,-0.0008783,22
51.5036048889,-0.0008650001,1
51.5036125183,-0.0008500001,3
51.503627777,-0.0008366001,2
51.5036392211,-0.0008266001,0
51.5036392211,-0.0008166,6
51.5036468505,-0.0008065999,0
51.5036544799,-0.0007966001,0
51.5036697387,-0.0007866001,0
51.5036773681,-0.0007800001,2
51.5036773681,-0.0007766001,3
51.5036849975,-0.0007766001,2
51.5036964416,-0.000775,8
51.5036964416,-0.0007666,2
51.503704071,-0.0007650001,1
51.503704071,-0.0007666,4
51.5037117004,-0.0007616001,2
51.5037193298,-0.0007565999,3
51.5037269592,-0.0007483,2
51.5037345886,-0.00074,0
51.503742218,-0.0007250001,4
51.5037498474,-0.000715,9
51.5037612915,-0.0006983,1
51.5037689208,-0.0006833001,1
51.5037765502,-0.0006683001,0
51.503791809,-0.0006533,0
51.5037994384,-0.0006383,3
51.5038070678,-0.000625,0
51.5038185119,-0.0006050001,7
51.5038261413,-0.0005933001,14
51.5038337707,-0.0005816,4
51.5038414001,-0.0005683001,2
51.5038490295,-0.000555,0
51.5038642883,-0.000545,2
51.5038833618,-0.0005316,2
51.5038909912,-0.00052,2
51.5038986206,-0.000505,2
51.50390625,-0.0004933001,3
51.5039215087,-0.0004783,2
51.5039291381,-0.00046,3
51.5039405822,-0.0004433,3
51.5039482116,-0.0004283,3
51.5039634704,-0.00041,5
51.5039710998,-0.0003883,4
51.5039710998,-0.0003666,3
51.5039787292,-0.0003433,3
51.5039787292,-0.0003233,5
51.5039863586,-0.0003033,3
51.503993988,-0.0002866,12
51.5040054321,-0.0002683,13
51.5040130615,-0.0002483,6
51.5040130615,-0.0002366,2
51.5040206909,-0.00022,10
51.5040283203,-0.000205,7
51.5040359497,-0.0001933,5
51.5040435791,-0.000185,5
51.5040512084,-0.00018,24
51.5040702819,-0.0001733,31
51.5040779113,-0.00017,9
51.5040779113,-0.0001633,12
