latitude,longitude,light,sound average,sound peak,MQ9 gas average,people
51.4997138977,0.0103700006,9,16.53,311,514.61,0
51.4996986389,0.0103900003,9,15.12,306,514.07,0
51.4996910095,0.0104132997,9,14.27,315,514.41,0
51.4996757507,0.0104366004,9,14.14,290,513.58,0
51.4996681213,0.0104500007,9,13.6,318,513.09,0
51.4996490478,0.0104649996,9,33.41,312,514.93,0
51.4996414184,0.0104815995,9,43.45,305,515.63,0
51.4996261596,0.0104982995,9,39.96,307,514.05,0
51.4996109008,0.0105166006,9,30.85,351,514.9,0
51.4995918273,0.0105332994,9,42.89,320,514.74,0
51.4995841979,0.0105483007,9,36.75,313,513.33,0
51.4995765686,0.0105599999,9,32.8,356,515.53,0
51.4995689392,0.0105783009,9,37.07,336,515.92,0
51.4995536804,0.0105965995,9,38.72,300,514.92,0
51.4995346069,0.0106150007,9,39.23,332,509.21,1
51.4995269775,0.0106315994,9,42.02,334,517.52,0
51.4995117187,0.0106482994,9,35.42,306,514.07,0
51.4995040893,0.0106565999,9,36.22,338,515.63,0
51.4995040893,0.0106650006,9,38.63,302,513.46,0
51.4994964599,0.0106700003,9,35.95,326,513.19,0
51.4994888305,0.0106816005,9,41.33,311,513.88,0
51.499469757,0.0106966006,9,39.27,329,513.68,0
51.499469757,0.0107066011,9,38.16,322,515.67,0
51.4994621276,0.0107150006,9,38.99,306,514.67,0
51.4994544982,0.0107233011,9,34.8,345,514.69,0
51.4994468688,0.0107333004,9,41.62,313,514.57,0
51.4994392395,0.0107483005,9,38.11,334,514.58,0
51.4994316101,0.0107616007,9,40.04,415,518.25,0
51.4994125366,0.0107782995,9,42.86,341,516.91,0
51.4994049072,0.0107916009,9,39.26,338,515.36,0
51.4993972778,0.0108050001,9,42.23,304,516.57,0
51.499382019,0.0108133006,9,38.01,334,516.65,0
51.4993743896,0.0108200001,9,37.2,318,516.75,0
51.4993553161,0.0108283006,9,37.69,326,515.17,0
51.4993400573,0.0108399999,9,35.6,299,516.63,0
51.4993247985,0.0108516001,9,40.58,331,511.41,1
51.4993171691,0.0108633005,9,39.26,333,516.22,0
51.4993095397,0.0108715999,9,33.78,366,515.64,0
51.4992904663,0.0108800005,9,17.63,320,515.71,0
51.4992828369,0.0108816015,9,14.32,308,515.87,0
51.4992752075,0.0108850002,9,14.15,307,511.46,0
51.4992599487,0.0109033,9,18.6,319,509.06,0
51.4992446899,0.0109150004,10,20.58,324,516.65,0
51.4992256164,0.0109316003,9,13.99,324,512.2,0
51.499217987,0.0109466004,9,14.46,283,514.58,0
51.4991950988,0.0109633016,9,14.41,312,512.82,0
51.4991874694,0.0109733009,9,13.84,314,512.22,0
51.4991683959,0.0109865999,9,14.99,267,513.61,0
51.4991607666,0.0109983003,9,15.65,329,512.64,0
51.4991455078,0.0110066008,9,14.82,314,512.42,0
51.4991455078,0.0110149991,9,14.87,306,513.53,0
51.4991378784,0.0110250008,9,14.24,298,513.84,0
51.4991226196,0.0110383009,9,14.35,323,511.68,0
51.4991111755,0.0110532999,9,15.31,322,514.27,0
51.4991035461,0.0110650002,9,19,269,516.38,0
51.4990959167,0.0110716009,9,21.97,341,516.04,0
51.4990806579,0.0110800004,9,19.02,309,515.26,0
51.4990730285,0.011085,9,16.15,308,512.5,0
51.4990730285,0.0110899996,9,14.95,273,512.54,0
51.4990653991,0.0110933005,9,17.2,326,512.61,0
51.4990463256,0.0111065995,9,16.23,339,511.73,0
51.4990386962,0.0111266005,9,13.78,290,512.62,0
51.4990310668,0.0111400008,9,15.22,309,510.05,0
51.4990158081,0.0111532998,9,13.79,318,512.84,0
